star,magnitude,temp,type,distance,radius,Ra,Dec,constellation
KapteynsStar,10.9,3480,M,12.8,0.29,77.91912433145708,-45.01843381524333,Pictor
Kruger60A,11.9,2940,M,13.1,0.23,330.7938,57.7020,Cepheus
Kruger60B,13.3,2670,M,13.1,0.15,330.7938,57.7020,Cepheus
BD-124523,12.1,2940,M,13.1,0.23,247.57524331140954,-12.662589227147778,Virgo
Ross614A,13.1,2800,M,13.4,0.21,97.34746465634959,-2.8135566419502775,Monoceros
Wolf424A,15,2670,M,14.5,0.16,188.32257346994038,9.021123587424446,Virgo
vanMaanen'sStar,14.2,13000,DB,14,0.011,2.5293,5.2333,Pisces
TZArietis,14,2800,M,14.5,0.2,30.053984665969573,13.051944602566945,Aries
HD225213,10.3,3200,M,N/A,0.24,1.3517851465737503,-37.35736331430695,Sculptor
ADLeonis,11,2940,M,16.2,0.44,154.90117007551083,19.87000290182528,Leo
40EridaniA,6,4900,K,16.3,0.6,63.8170,-7.6525,Eridanus
40EridaniB,11.1,10000,DA,16.3,0.014,63.84081549227875,-7.658112218552501,Eridanus
40EridaniC,12.8,2940,M,16.3,0.16,63.83973332536918,-7.655748493915556,Eridanus
70OphiuchiA,5.8,4950,K,16.7,0.85,271.36353505499625,2.500146281931389,Ophiuchus
70OphiuchiB,7.5,3870,K,16.7,0.61,271.3644289008066,2.498946996844167,Ophiuchus
EVLacertae,11.7,2800,M,16.7,0.36,341.70721358761165,44.33399288376722,Lacerta
